N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"82,600","1,300",-1.55%,100,"4,931,040","5,969,783",54.78,"21,549,645",21.50,9.99,
2,SK하이닉스,"132,500","6,000",-4.33%,"5,000","964,603","728,002",50.39,"5,033,535",20.28,9.53,
3,NAVER,"380,500","10,500",-2.69%,100,"625,022","164,263",57.09,"831,472",62.41,15.22,
4,삼성전자우,"75,000",600,-0.79%,100,"617,165","822,887",77.73,"1,522,838",19.53,N/A,
5,LG화학,"864,000","29,000",-3.25%,"5,000","609,918","70,592",44.37,"352,419",131.93,2.93,
6,삼성바이오로직스,"833,000","4,000",-0.48%,"2,500","551,154","66,165",10.37,"124,202",228.72,N/A,
7,카카오,"118,000","1,500",-1.26%,100,"523,695","443,809",33.85,"4,436,305",332.39,2.70,
8,현대차,"225,500","3,500",-1.53%,"5,000","481,822","213,668",30.73,"836,802",43.85,2.04,
9,삼성SDI,"671,000","19,000",-2.75%,"5,000","461,410","68,765",42.79,"279,024",82.17,4.54,
10,셀트리온,"290,500","9,500",-3.17%,"1,000","392,256","135,028",21.29,"989,251",78.15,16.68,
11,기아,"83,800","2,100",-2.44%,"5,000","339,694","405,363",33.84,"3,150,780",22.83,5.05,
12,POSCO,"351,000","4,500",-1.27%,"5,000","306,026","87,187",54.54,"433,689",19.10,3.61,
13,현대모비스,"298,500","6,000",-1.97%,"5,000","282,957","94,793",39.06,"474,703",18.56,4.66,
14,LG전자,"166,000","6,000",-3.49%,"5,000","271,655","163,648",31.29,"2,026,392",15.25,13.23,
15,삼성물산,"135,000","4,500",-3.23%,100,"252,298","186,887",14.86,"823,252",24.69,3.81,
16,SK이노베이션,"264,000","4,500",-1.68%,"5,000","244,109","92,466",22.36,"575,965",-11.39,-13.58,
17,SK텔레콤,"302,000","3,000",-0.98%,500,"243,852","80,746",39.15,"194,978",16.21,6.44,
18,LG생활건강,"1,544,000","27,000",-1.72%,"5,000","241,145","15,618",45.92,"38,342",34.30,17.92,
19,KB금융,"52,400",700,-1.32%,"5,000","217,883","415,808",68.98,"1,287,730",6.31,8.53,
20,SK,"303,000","8,500",+2.89%,200,"213,192","70,360",21.26,"415,599",113.48,1.11,
21,신한지주,"36,750",750,-2.00%,"5,000","189,850","516,600",60.12,"1,860,743",5.45,8.20,
22,엔씨소프트,"857,000","25,000",-2.83%,500,"188,146","21,954",52.03,"132,341",32.03,20.83,
23,LG,"109,000","1,500",-1.36%,"5,000","188,087","172,557",35.15,"468,471",13.08,7.50,
24,삼성생명,"80,400","1,800",-2.19%,500,"160,800","200,000",13.09,"461,418",12.70,3.53,
25,한국전력,"23,900",350,-1.44%,"5,000","153,429","641,964",16.69,"2,988,480",7.70,2.91,
26,아모레퍼시픽,"257,000","8,000",-3.02%,500,"150,238","58,458",33.30,"258,363",504.91,0.78,
27,삼성전기,"195,000","5,000",-2.50%,"5,000","145,653","74,694",35.15,"463,840",25.05,10.92,
28,삼성에스디에스,"184,500","4,500",-2.38%,500,"142,762","77,378",12.05,"213,541",32.19,6.71,
29,포스코케미칼,"167,000",0,0.00%,500,"129,364","77,463",7.68,"259,201",362.26,2.96,
30,넷마블,"145,500","2,000",-1.36%,100,"125,062","85,954",24.00,"331,945",39.90,6.35,
31,하나금융지주,"41,550",750,-1.77%,"5,000","124,751","300,242",68.83,"1,102,594",4.73,8.96,
32,SK바이오사이언스,"149,500","10,000",+7.17%,500,"114,368","76,500",2.87,"2,229,273",278.40,13.25,
33,KT&G,"83,300",500,-0.60%,"5,000","114,365","137,292",40.15,"589,178",9.76,13.22,
34,HMM,"33,050",500,-1.49%,"5,000","114,152","345,392",11.29,"4,459,883",86.07,8.93,
35,롯데케미칼,"286,500","5,500",-1.88%,"5,000","98,199","34,275",25.64,"196,505",61.97,1.22,
36,한국조선해양,"135,500","3,500",-2.52%,"5,000","95,898","70,773",18.16,"376,210",-11.50,-7.42,
37,한화솔루션,"49,350","1,150",-2.28%,"5,000","94,396","191,278",17.40,"1,393,528",26.78,5.30,
38,SK바이오팜,"120,000","1,000",+0.84%,500,"93,976","78,313",7.96,"648,657",-34.86,-135.18,
39,한온시스템,"17,350",750,-4.14%,100,"92,614","533,800",19.59,"1,784,576",83.82,5.09,
40,대한항공,"26,400",450,-1.68%,"5,000","91,825","347,821",10.57,"1,501,993",-22.28,-7.22,
41,삼성화재,"193,000","1,500",-0.77%,500,"91,433","47,375",46.79,"104,113",12.93,4.96,
42,LG디스플레이,"24,900",150,+0.61%,"5,000","89,096","357,816",23.78,"2,885,035",-99.60,-0.79,
43,S-Oil,"77,400","1,600",-2.03%,"2,500","87,139","112,583",75.81,"438,460",-11.34,-13.07,
44,하이브,"242,000",0,0.00%,500,"86,209","35,624",7.31,"229,610",N/A,12.52,
45,금호석유,"282,000","14,500",+5.42%,"5,000","85,919","30,468",25.90,"1,062,077",16.20,20.18,
46,고려아연,"418,000",500,-0.12%,"5,000","78,877","18,870",22.26,"66,044",13.77,8.37,
47,KT,"28,800",100,-0.35%,"5,000","75,200","261,112",43.04,"1,066,353",11.43,4.76,
48,우리금융지주,"10,150",250,-2.40%,"5,000","73,310","722,268",27.16,"3,474,920",5.61,5.87,
49,현대글로비스,"187,000","1,500",-0.80%,500,"70,125","37,500",32.84,"136,520",11.57,12.45,
50,기업은행,"9,140",80,-0.87%,"5,000","67,514","738,664",12.03,"1,524,950",4.56,6.44,
51,현대제철,"50,300",200,+0.40%,"5,000","67,123","133,446",20.49,"1,030,009",-15.61,-2.59,
52,미래에셋증권,"9,880",270,-2.66%,"5,000","62,769","635,316",15.04,"2,357,194",9.68,8.94,
53,CJ제일제당,"413,000","4,500",-1.08%,"5,000","62,174","15,054",24.91,"42,613",9.87,13.50,
54,한국금융지주,"110,000",0,0.00%,"5,000","61,299","55,726",31.64,"600,852",7.85,16.27,
55,한국타이어앤테크놀로지,"48,850","1,750",-3.46%,500,"60,513","123,875",42.01,"408,488",16.25,5.12,
56,LG유플러스,"13,300",0,0.00%,"5,000","58,069","436,611",30.61,"3,477,225",12.44,6.46,
57,두산중공업,"13,600",300,-2.16%,"5,000","57,457","422,481",9.18,"2,368,968",-3.47,-37.20,
58,아모레G,"68,500","2,800",-3.93%,500,"56,484","82,458",19.66,"254,648",634.26,0.31,
59,현대건설,"49,500",50,+0.10%,"5,000","55,121","111,356",20.43,"1,428,123",45.08,1.84,
60,신풍제약,"103,000","2,000",+1.98%,500,"54,575","52,985",11.53,"3,294,397","1,131.87",1.72,
61,SKC,"142,000","1,000",-0.70%,"5,000","53,773","37,868",10.48,"194,800",143.58,2.21,
62,강원랜드,"24,550",450,-1.80%,500,"52,522","213,940",21.25,"547,194",-19.05,-7.92,
63,LG이노텍,"215,500","1,500",-0.69%,"5,000","51,003","23,667",30.29,"194,819",21.60,10.20,
64,한미사이언스,"74,100","5,100",+7.39%,500,"49,873","67,305",1.55,"1,062,570",220.54,3.47,
65,코웨이,"66,300","1,000",-1.49%,500,"48,929","73,800",58.58,"385,586",12.09,31.51,
66,유한양행,"68,500",300,+0.44%,"1,000","47,931","69,973",19.19,"392,529",25.29,11.06,
67,오리온,"120,500","1,000",-0.82%,500,"47,641","39,536",41.87,"118,566",17.80,15.50,
68,이마트,"169,500","1,500",-0.88%,"5,000","47,250","27,876",30.87,"138,796",13.06,4.05,
69,맥쿼리인프라,"12,350",150,+1.23%,0,"45,966","372,192",15.64,"1,281,436",N/A,N/A,
70,현대중공업지주,"57,800","1,200",-2.03%,"1,000","45,658","78,993",17.25,"288,382",-7.57,-8.12,
71,녹십자,"390,000","10,000",-2.50%,"5,000","45,577","11,687",19.14,"163,534",56.24,7.48,
72,KODEX 200,"43,335",790,-1.79%,0,"44,938","103,700",11.22,"8,937,471",N/A,N/A,
73,삼성중공업,"7,130",130,-1.79%,"5,000","44,919","630,000",15.99,"5,940,039",-3.03,-33.06,
74,한미약품,"358,500","2,500",+0.70%,"2,500","43,301","12,078",13.44,"140,034",362.12,1.65,
75,두산밥캣,"42,300",300,+0.71%,500,"42,405","100,249",24.09,"256,903",17.14,6.15,
76,CJ대한통운,"178,500","1,500",-0.83%,"5,000","40,720","22,812",22.02,"53,485",33.10,3.89,
77,GS,"42,750","1,300",+3.14%,"5,000","39,721","92,915",18.43,"724,146",-16.68,-2.82,
78,삼성카드,"34,100",550,-1.59%,"5,000","39,508","115,859",11.61,"94,970",9.91,5.69,
79,쌍용C&E,"7,810",0,0.00%,100,"39,351","503,860",3.31,"1,462,054",28.50,7.92,
80,GS건설,"46,000",0,0.00%,"5,000","39,326","85,491",27.78,"1,140,489",11.83,7.68,
81,현대차2우B,"104,000","3,500",-3.26%,"5,000","37,945","36,485",61.45,"91,600",20.22,N/A,
